UNIT	EXITSn_hourly
R001	0.0
R001	553.0
R001	1262.0
R001	3708.0
R001	2501.0
R001	2122.0
R002	0.0
R002	66.0
R002	125.0
R002	716.0
R002	968.0
R002	566.0
R003	0.0
R003	0.0
R003	0.0
R003	0.0
R003	0.0
R004	0.0
R004	0.0
R004	0.0
R004	0.0
R004	0.0
R004	0.0
R005	0.0
R005	2.0
R005	2.0
R005	7.0
R005	0.0
R006	0.0
R006	1.0
R006	1.0
R006	7.0
R006	3.0
R006	3.0
R007	0.0
R007	0.0
R007	0.0
R007	1.0
R008	0.0
R008	0.0
R008	0.0
R008	3.0
R008	0.0
R009	0.0
R009	4.0
R009	20.0
R009	17.0
R009	13.0
R010	0.0
R010	517.0
R010	899.0
R010	2349.0
R010	3457.0
R010	2510.0
R011	0.0
R011	1036.0
R011	455.0
R011	5693.0
R011	6794.0
R011	7869.0
R012	0.0
R012	0.0
R012	1289.0
R012	1083.0
R012	6018.0
R012	9457.0
R012	8016.0
R013	0.0
R013	122.0
R013	168.0
R013	1229.0
R013	2219.0
R013	1496.0
R014	0.0
R014	48.0
R014	211.0
R014	615.0
R014	714.0
R014	390.0
R015	0.0
R015	45.0
R015	585.0
R015	1802.0
R015	1364.0
R015	513.0
R016	0.0
R016	100.0
R016	592.0
R016	620.0
R016	570.0
R017	0.0
R017	342.0
R017	398.0
R017	1855.0
R017	2025.0
R017	1933.0
R018	0.0
R018	3131.0
R018	460.0
R018	4252.0
R018	6442.0
R018	9034.0
R019	0.0
R019	474.0
R019	347.0
R019	727.0
R019	988.0
R019	1468.0
R020	0.0
R020	360.0
R020	905.0
R020	4037.0
R020	4579.0
R020	3251.0
R021	0.0
R021	581.0
R021	467.0
R021	2476.0
R021	3712.0
R021	3020.0
R022	0.0
R022	945.0
R022	1011.0
R022	6681.0
R022	11926.0
R022	10256.0
R023	0.0
R023	724.0
R023	757.0
R023	5199.0
R023	6596.0
R023	5719.0
R024	0.0
R024	719.0
R024	358.0
R024	1695.0
R024	1931.0
R024	2384.0
R025	0.0
R025	1305.0
R025	531.0
R025	2432.0
R025	2795.0
R025	3705.0
R027	0.0
R027	368.0
R027	88.0
R027	971.0
R027	1512.0
R027	1396.0
R028	0.0
R028	240.0
R028	953.0
R028	1656.0
R028	2634.0
R028	1099.0
R029	0.0
R029	454.0
R029	374.0
R029	2327.0
R029	2985.0
R029	2136.0
R030	0.0
R030	353.0
R030	212.0
R030	2011.0
R030	356.0
R030	190.0
R030	136.0
R030	1840.0
R030	1256.0
R031	0.0
R031	430.0
R031	425.0
R031	2778.0
R031	4745.0
R031	4475.0
R032	0.0
R032	835.0
R032	566.0
R032	3604.0
R032	6584.0
R032	5838.0
R033	0.0
R033	1201.0
R033	371.0
R033	4937.0
R033	8076.0
R033	7315.0
R034	0.0
R034	547.0
R034	25.0
R034	1104.0
R034	1359.0
R034	1699.0
R035	0.0
R035	660.0
R035	141.0
R035	1319.0
R035	1834.0
R035	2122.0
R035	0.0
R036	0.0
R036	63.0
R036	192.0
R036	243.0
R036	314.0
R037	0.0
R037	389.0
R037	19.0
R037	641.0
R037	867.0
R037	1081.0
R038	0.0
R038	43.0
R038	4.0
R038	118.0
R038	176.0
R038	210.0
R039	0.0
R039	49.0
R039	19.0
R039	101.0
R039	217.0
R039	246.0
R040	0.0
R040	152.0
R040	207.0
R040	270.0
R040	294.0
R041	0.0
R041	149.0
R041	218.0
R041	1018.0
R041	1439.0
R041	839.0
R042	0.0
R042	366.0
R042	2341.0
R042	2208.0
R042	1506.0
R043	0.0
R043	79.0
R043	23.0
R043	25.0
R043	13.0
R043	9.0
R043	34.0
R043	66.0
R043	117.0
R043	127.0
R043	135.0
R043	331.0
R043	286.0
R043	315.0
R043	263.0
R043	368.0
R043	335.0
R043	330.0
R043	365.0
R043	276.0
R043	183.0
R043	158.0
R043	123.0
R043	141.0
R044	0.0
R044	648.0
R044	543.0
R044	3787.0
R044	5918.0
R044	3701.0
R045	0.0
R045	14.0
R045	401.0
R045	1437.0
R045	1748.0
R045	1732.0
R046	0.0
R046	1099.0
R046	638.0
R046	4378.0
R046	5844.0
R046	6372.0
R047	0.0
R047	310.0
R047	1116.0
R047	2637.0
R047	3398.0
R047	2615.0
R048	0.0
R048	71.0
R048	287.0
R048	501.0
R048	517.0
R048	431.0
R049	0.0
R049	386.0
R049	562.0
R049	2392.0
R049	3124.0
R049	3071.0
R050	0.0
R050	225.0
R050	511.0
R050	2700.0
R050	3788.0
R050	2616.0
R051	0.0
R051	542.0
R051	479.0
R051	3081.0
R051	4903.0
R051	4101.0
R052	0.0
R052	210.0
R052	161.0
R052	361.0
R052	618.0
R052	800.0
R053	0.0
R053	526.0
R053	90.0
R053	969.0
R053	56.0
R053	862.0
R053	1325.0
R054	0.0
R054	111.0
R054	20.0
R054	949.0
R054	1.0
R054	1.0
R054	62.0
R054	806.0
R054	997.0
R055	0.0
R055	1888.0
R055	1821.0
R055	6615.0
R055	7630.0
R055	0.0
R055	9077.0
R056	0.0
R056	241.0
R056	37.0
R056	956.0
R056	1455.0
R056	1069.0
R057	0.0
R057	972.0
R057	456.0
R057	3352.0
R057	5811.0
R057	5583.0
R058	0.0
R058	137.0
R058	30.0
R058	515.0
R058	578.0
R058	683.0
R059	0.0
R059	150.0
R059	24.0
R059	446.0
R059	818.0
R059	738.0
R060	0.0
R060	313.0
R060	17.0
R060	2287.0
R060	5389.0
R060	1098.0
R061	0.0
R061	321.0
R061	572.0
R061	562.0
R061	815.0
R062	0.0
R062	1285.0
R062	110.0
R062	2230.0
R062	2578.0
R062	3502.0
R063	0.0
R063	275.0
R063	411.0
R063	430.0
R063	632.0
R064	0.0
R064	229.0
R064	14.0
R064	372.0
R064	338.0
R064	443.0
R065	0.0
R065	370.0
R065	546.0
R065	619.0
R065	835.0
R066	0.0
R066	99.0
R066	217.0
R066	184.0
R066	202.0
R067	0.0
R067	166.0
R067	200.0
R067	226.0
R067	315.0
R068	0.0
R068	95.0
R068	49.0
R068	110.0
R068	133.0
R068	151.0
R069	0.0
R069	268.0
R069	113.0
R069	476.0
R069	497.0
R069	648.0
R070	0.0
R070	0.0
R070	0.0
R070	0.0
R070	0.0
R070	0.0
R079	0.0
R079	49.0
R079	1031.0
R079	3402.0
R079	2322.0
R079	492.0
R080	0.0
R080	364.0
R080	488.0
R080	2283.0
R080	1861.0
R080	2202.0
R081	0.0
R081	335.0
R081	393.0
R081	2750.0
R081	3505.0
R081	76.0
R081	48.0
R081	34.0
R081	2378.0
R082	0.0
R082	187.0
R082	108.0
R082	1552.0
R082	1640.0
R082	1400.0
R083	0.0
R083	137.0
R083	61.0
R083	1277.0
R083	1553.0
R083	1327.0
R084	0.0
R084	1206.0
R084	1273.0
R084	7849.0
R084	73.0
R084	10365.0
R084	80.0
R084	7483.0
R084	147.0
R085	0.0
R085	357.0
R085	110.0
R085	1446.0
R085	2421.0
R085	2446.0
R086	0.0
R086	189.0
R086	124.0
R086	41.0
R086	25.0
R086	21.0
R086	40.0
R086	100.0
R086	1866.0
R086	3517.0
R086	3848.0
R087	0.0
R087	14.0
R087	29.0
R087	178.0
R087	231.0
R087	151.0
R088	0.0
R088	10.0
R088	72.0
R088	179.0
R088	260.0
R088	161.0
R089	0.0
R089	13.0
R089	169.0
R089	181.0
R089	110.0
R090	0.0
R090	137.0
R090	331.0
R090	602.0
R090	374.0
R091	0.0
R091	607.0
R091	105.0
R091	516.0
R091	831.0
R091	1320.0
R092	0.0
R092	1000.0
R092	13.0
R092	1008.0
R092	40.0
R092	14.0
R092	143.0
R092	457.0
R092	415.0
R092	625.0
R093	0.0
R093	1000.0
R093	1065.0
R093	1444.0
R093	2114.0
R094	0.0
R094	833.0
R094	214.0
R094	706.0
R094	1278.0
R094	1706.0
R095	0.0
R095	1174.0
R095	200.0
R095	937.0
R095	1666.0
R095	1280.0
R096	0.0
R096	908.0
R096	185.0
R096	2181.0
R096	3010.0
R096	3899.0
R097	0.0
R097	1327.0
R097	198.0
R097	1919.0
R097	2575.0
R097	4161.0
R098	0.0
R098	853.0
R098	108.0
R098	1287.0
R098	1735.0
R098	2537.0
R099	0.0
R099	364.0
R099	86.0
R099	940.0
R099	1232.0
R099	1162.0
R100	0.0
R100	58.0
R100	48.0
R100	427.0
R100	806.0
R100	613.0
R101	0.0
R101	1770.0
R101	209.0
R101	2014.0
R101	2600.0
R101	3818.0
R102	0.0
R102	1466.0
R102	264.0
R102	3859.0
R102	3917.0
R102	4128.0
R103	0.0
R103	711.0
R103	1579.0
R103	1223.0
R103	1521.0
R103	249.0
R104	0.0
R104	385.0
R104	18.0
R104	572.0
R104	727.0
R104	977.0
R105	0.0
R105	458.0
R105	272.0
R105	1879.0
R105	2815.0
R105	3243.0
R106	0.0
R106	338.0
R106	596.0
R106	531.0
R106	718.0
R107	0.0
R107	273.0
R107	640.0
R107	606.0
R107	769.0
R108	0.0
R108	461.0
R108	242.0
R108	1760.0
R108	2781.0
R108	2882.0
R109	0.0
R109	119.0
R109	97.0
R109	255.0
R109	308.0
R109	346.0
R110	0.0
R110	446.0
R110	536.0
R110	891.0
R110	1285.0
R110	1666.0
R111	0.0
R111	255.0
R111	73.0
R111	1101.0
R111	1377.0
R111	1454.0
R112	0.0
R112	517.0
R112	50.0
R112	697.0
R112	859.0
R112	1084.0
R113	0.0
R113	124.0
R113	897.0
R113	1619.0
R113	1918.0
R113	1290.0
R114	0.0
R114	436.0
R114	60.0
R114	613.0
R114	607.0
R114	902.0
R115	0.0
R115	413.0
R115	91.0
R115	621.0
R115	791.0
R115	1165.0
R116	0.0
R116	496.0
R116	332.0
R116	2896.0
R116	3613.0
R116	2945.0
R117	0.0
R117	291.0
R117	537.0
R117	794.0
R117	599.0
R118	0.0
R118	82.0
R118	593.0
R118	2268.0
R118	1284.0
R118	948.0
R119	0.0
R119	264.0
R119	521.0
R119	648.0
R119	808.0
R120	0.0
R120	412.0
R120	314.0
R120	651.0
R120	984.0
R120	1328.0
R121	0.0
R121	104.0
R121	19.0
R121	348.0
R121	321.0
R121	435.0
